21,100
15,1,255,100,0
14,1,255,100,0
15,2,255,100,0
14,2,255,100,0
16,35,100,255,0
16,36,100,255,0
17,35,100,255,0
17,36,100,255,0
19,25,0,100,255
18,25,0,100,255
14,25,0,100,255
13,25,0,100,255
18,23,0,100,255
14,23,0,100,255
17,22,0,100,255
17,21,0,100,255
16,22,0,100,255
16,21,0,100,255
15,22,0,100,255
15,21,0,100,255
14,18,0,100,255
13,17,0,100,255
14,17,0,100,255
15,17,0,100,255
12,16,0,100,255
16,16,0,100,255
14,15,0,100,255
11,14,0,100,255
17,14,0,100,255
11,13,0,100,255
17,13,0,100,255
12,12,0,100,255
16,12,0,100,255
13,11,0,100,255
14,11,0,100,255
15,11,0,100,255
